relevance_level,category,num_queries,precision@1,recall@1,map@1,ndcg@1,mrr@1,precision@5,recall@5,map@5,ndcg@5,mrr@5,precision@10,recall@10,map@10,ndcg@10,mrr@10,precision@20,recall@20,map@20,ndcg@20,mrr@20,precision@50,recall@50,map@50,ndcg@50,mrr@50,precision@100,recall@100,map@100,ndcg@100,mrr@100
strict,Tops,18,0.8333333333333334,0.000473215975771342,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7111111111111111,0.002019054829957726,0.6640740740740741,0.7350814933641876,0.875,0.6333333333333333,0.0035964414158622,0.5517328042328042,0.6698131142608914,0.8819444444444444,0.611111111111111,0.006940500977979683,0.49793498728128505,0.642204687563015,0.8819444444444444,0.58,0.016467915956842702,0.42422927076383904,0.60326939731902,0.8819444444444444,0.5394444444444445,0.030632847498264875,0.3707854832660573,0.5634845554012787,0.8819444444444444
strict,Tshirts,88,0.9431818181818182,0.00013351950993513846,0.9431818181818182,0.9431818181818182,0.9431818181818182,0.934090909090909,0.0006611628744980952,0.9121969696969696,0.9385926391750444,0.9696969696969696,0.9090909090909091,0.0012869350355194068,0.87846636002886,0.9200122972592815,0.9696969696969696,0.8880681818181819,0.002514349325646041,0.8437451498664733,0.9015957778736605,0.9696969696969696,0.8620454545454546,0.006101680737156389,0.8008346714138312,0.8756923030610495,0.9696969696969696,0.847159090909091,0.011992625862246475,0.7759391024914041,0.8591985295439801,0.9696969696969696
strict,Handbags,18,0.9444444444444444,0.0005372266464416635,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9222222222222223,0.0026229300973328274,0.9222222222222223,0.9298661024986288,0.9444444444444444,0.9166666666666666,0.00521425862722791,0.9061728395061728,0.9229752610322923,0.9444444444444444,0.9249999999999999,0.010523321956769055,0.9094763435643208,0.9265857720796262,0.9444444444444444,0.9244444444444445,0.026292504108203763,0.9081574252746315,0.9254140074792109,0.9444444444444444,0.9188888888888889,0.05226899254203008,0.901953176878259,0.9208904224917797,0.9444444444444444
strict,Sports Shoes,21,0.8095238095238095,0.000401748788845563,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7904761904761903,0.00196147938083422,0.7620634920634921,0.7952007057071833,0.8571428571428571,0.7904761904761903,0.003922958761668439,0.7430461073318215,0.7933768670693558,0.861904761904762,0.8023809523809523,0.007964078931820866,0.7378201032897517,0.8002812926071309,0.8647058823529411,0.7771428571428571,0.01928394186458703,0.7122546797137153,0.7813996327502599,0.8647058823529411,0.7785714285714285,0.038638780574264446,0.7061694368489198,0.7809789784486773,0.8647058823529411
strict,Bracelet,1,1.0,0.015384615384615385,1.0,1.0,1.0,0.8,0.06153846153846154,0.76,0.8539316501572937,1.0,0.5,0.07692307692307693,0.43555555555555553,0.6203974344166849,1.0,0.45,0.13846153846153847,0.32327228327228325,0.5458694151459268,1.0,0.32,0.24615384615384617,0.17908286005646976,0.4023703741270275,1.0,0.3,0.46153846153846156,0.2023320688963479,0.48024162892530664,1.0
strict,Kurtas,28,0.9285714285714286,0.0005038369118672972,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.0025191845593364862,0.899047619047619,0.9304727963376725,0.9642857142857143,0.9249999999999999,0.005018990775908845,0.8867375283446712,0.927533115144157,0.9642857142857143,0.9214285714285714,0.009999224866289439,0.8759252746230991,0.9247340909270163,0.9642857142857143,0.9,0.02441671188279978,0.8437564062102467,0.9075707107832117,0.9642857142857143,0.8821428571428571,0.04786450662739322,0.8145613138827877,0.8909763181227406,0.9642857142857143
strict,Heels,22,0.7272727272727273,0.0005501306560308074,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7454545454545456,0.002819419612157888,0.6916666666666667,0.7453831654409865,0.7954545454545454,0.7181818181818181,0.005432540228304222,0.6322132034632035,0.7262726196617075,0.8075757575757575,0.7318181818181819,0.01107137945262,0.6186297986714009,0.7333608756562491,0.8075757575757575,0.7054545454545456,0.026681336817494152,0.5737303078669301,0.7128166547944184,0.8075757575757575,0.7063636363636363,0.05343143996699217,0.5616343166115465,0.7108525914364241,0.8075757575757575
strict,Jeans,7,0.8571428571428571,0.0014261944378416924,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9714285714285714,0.008081768481102923,0.9347619047619047,0.951548542103769,0.9285714285714286,0.9714285714285714,0.016163536962205845,0.942641723356009,0.9586395731093061,0.9285714285714286,0.9571428571428572,0.03185167577846446,0.928934316334803,0.9535232797506514,0.9285714285714286,0.9428571428571428,0.07844069408129307,0.9034625773894069,0.9439557263206402,0.9285714285714286,0.9085714285714286,0.15117661041121938,0.8587349398390582,0.9170977421855958,0.9285714285714286
strict,Ring,2,1.0,0.008547008547008548,1.0,1.0,1.0,1.0,0.042735042735042736,1.0,1.0,1.0,1.0,0.08547008547008547,1.0,1.0,1.0,1.0,0.17094017094017094,1.0,1.0,1.0,0.8999999999999999,0.3846153846153846,0.879746704990426,0.925948336628803,1.0,0.71,0.6068376068376069,0.6596103048359846,0.7728204820135358,1.0
strict,Sandals,11,1.0,0.0011185682326621922,1.0,1.0,1.0,0.8909090909090908,0.0049827130364043124,0.8863636363636364,0.920105110213332,1.0,0.8181818181818182,0.009151921903599756,0.7901948051948053,0.8582601574801992,1.0,0.7363636363636363,0.016473459426479563,0.6813522767573921,0.786617765694098,1.0,0.6545454545454545,0.036607687614399025,0.5708433799760771,0.7027965170098897,1.0,0.6218181818181818,0.06955460646735814,0.5154956048169166,0.6587621043447288,1.0
strict,Casual Shoes,38,0.8157894736842105,0.0002868458064993709,0.8157894736842105,0.8157894736842105,0.8157894736842105,0.7947368421052632,0.001397216670367903,0.7376315789473684,0.7978539329174572,0.875,0.7736842105263156,0.002720408616477904,0.7031140350877193,0.7812549803094687,0.875,0.7526315789473683,0.005292767784440002,0.6733284655197337,0.7639756161487942,0.875,0.7142105263157894,0.012556443852246649,0.6244824529197538,0.7302952495486165,0.875,0.6878947368421054,0.024187578651269522,0.5852266030661072,0.7039951578419168,0.875
strict,Watches,29,0.9655172413793104,0.0003799753016053956,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.993103448275862,0.001954158693970606,0.9842528735632183,0.9883048205078064,0.9827586206896551,0.996551724137931,0.003921887934427119,0.989900109469075,0.9924106287483421,0.9827586206896551,0.9879310344827585,0.007775923136424702,0.9811583860103931,0.9878932943806396,0.9827586206896551,0.9800000000000001,0.019283746556473833,0.9675466617874048,0.9817942666407994,0.9827586206896551,0.9872413793103448,0.038852474589151705,0.9737364590550174,0.986729869147543,0.9827586206896551
strict,Sunglasses,14,1.0,0.0009328358208955222,1.0,1.0,1.0,0.9857142857142858,0.004597547974413646,0.9792857142857143,0.9878871355259423,1.0,0.9928571428571429,0.009261727078891255,0.985031179138322,0.9921395797750686,1.0,0.9892857142857142,0.01845682302771855,0.9828267615321187,0.990146574097115,1.0,0.9885714285714285,0.0461087420042644,0.9804772680341108,0.9894090703246824,1.0,0.9892857142857144,0.09228411513859278,0.9800475974890659,0.9896686540541184,1.0
strict,Belts,9,0.8888888888888888,0.0010946907498631637,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.005473453749315818,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.010946907498631636,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.021893814997263273,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.05473453749315818,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8877777777777778,0.10933223864258347,0.8870349285153634,0.8879579953355989,0.8888888888888888
strict,Briefs,11,0.9090909090909091,0.001074575542660649,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8727272727272727,0.005157962604771116,0.8645454545454545,0.8817468018046227,0.9090909090909091,0.8454545454545456,0.009993552546744036,0.82489898989899,0.8590717717454808,0.9090909090909091,0.8409090909090909,0.019879647539222008,0.8057002867312817,0.851304274608713,0.9090909090909091,0.8345454545454545,0.049323017408123795,0.7797544651861112,0.8409885786703595,0.9109848484848484,0.8163636363636364,0.0964968837309263,0.7559347531810946,0.8250476053830815,0.9109848484848484
strict,Sweatshirts,6,0.6666666666666666,0.002347417840375587,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.012910798122065727,0.5772222222222222,0.7030006654878274,0.8055555555555555,0.6499999999999999,0.022887323943661973,0.4982671957671958,0.6575567399084997,0.8055555555555555,0.5666666666666668,0.03990610328638498,0.40275116044659387,0.5950517107868337,0.8055555555555555,0.39666666666666667,0.0698356807511737,0.258175540983181,0.4552720844364259,0.8055555555555555,0.30333333333333334,0.1068075117370892,0.17095746280443422,0.36118146623273106,0.8055555555555555
strict,Tunics,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.013157894736842105,0.0006882474954764112,0.022243500784429285,0.012048192771084338
strict,Flip Flops,6,0.8333333333333334,0.0009127418765972982,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.00474625775830595,0.8005555555555555,0.8650790853234042,0.9166666666666666,0.8666666666666667,0.0094925155166119,0.7933267195767196,0.8671298801552086,0.9166666666666666,0.8750000000000001,0.019167579408543262,0.7847317385988052,0.8725926291743938,0.9166666666666666,0.8466666666666667,0.04636728733114275,0.7570939283419759,0.8525655947134795,0.9166666666666666,0.795,0.08707557502738227,0.6949324326906864,0.8102092833562632,0.9166666666666666
strict,Lipstick,4,1.0,0.003861003861003861,1.0,1.0,1.0,1.0,0.019305019305019305,1.0,1.0,1.0,1.0,0.03861003861003861,1.0,1.0,1.0,1.0,0.07722007722007722,1.0,1.0,1.0,0.985,0.19015444015444016,0.9818328715167078,0.9891411888774015,1.0,0.9325,0.36003861003861004,0.9186834062648591,0.9485443435489016,1.0
strict,Wallets,10,1.0,0.0010787486515641855,1.0,1.0,1.0,0.9800000000000001,0.005285868392664509,0.9800000000000001,0.9868794922487659,1.0,0.96,0.010355987055016183,0.9516111111111112,0.9711617948605678,1.0,0.9400000000000001,0.02028047464940669,0.9178252981109019,0.9532050285113659,1.0,0.9119999999999999,0.04919093851132686,0.8664589866758758,0.9262345999290152,1.0,0.881,0.09503775620280473,0.8206756447678469,0.897643609708151,1.0
